Shark,Depth,Location,Loliginidae,Portunidae,Penaeidae,Nematoda,Clupeidae,Squillidae,Cynoglossidae,Engraulidae
Scoliodon laticaudus,14.025,Vengurla,0.086956522,0,0,0,0,0,0,0
Scoliodon laticaudus,14.025,Vengurla,0,0,0,0,0,0.15,0,0
Scoliodon laticaudus,14.025,Vengurla,0.105263158,0,0,0,0,0,0,0
Scoliodon laticaudus,14.025,Vengurla,0,0,0,0,0,0,0,0
Carcharhinus limbatus,33.66,Devgad,0,0,0,0,0,0,0,0.045454545
Carcharhinus limbatus,33.66,Devgad,0,0,0,0,0,0.1,0,0
Scoliodon laticaudus,20.57,Aachara,0.047619048,0,0,0,0,0,0,0
Scoliodon laticaudus,20.57,Aachara,0,0,0.027027027,0,0,0,0,0
Scoliodon laticaudus,20.57,Aachara,0,0,0,0,0,0,0,0
Scoliodon laticaudus,20.57,Aachara,0.047619048,0,0.027027027,0,0,0,0,0
Chiloscyllium sp,20.57,Aachara,0,0,0,0,0,0.1,0,0.136363636
Chiloscyllium sp,22.44,Aachara,0.105263158,0,0,0,0,0.05,0,0
Scoliodon laticaudus,22.44,Aachara,0.095238095,0,0,0,0,0,0.166666667,0
Scoliodon laticaudus,18.7,Talashil,0.047619048,0,0,0,0,0.066666667,0,0
Scoliodon laticaudus,18.7,Talashil,0,0,0,0,0,0,0,0
Scoliodon laticaudus,18.7,Talashil,0,0,0.027027027,0,0,0,0,0
Scoliodon laticaudus,18.7,Talashil,0,0,0,0,0,0.25,0.083333333,0
Scoliodon laticaudus,37.4,Vengurla,0.043478261,0.090909091,0,0,0,0,0,0
Chiloscyllium sp,28.05,Malvan,0,0,0,0,0,0,0,0.333333333
Chiloscyllium sp,28.05,Malvan,0,0,0,0,0,0.066666667,0,0
Chiloscyllium sp,28.05,Malvan,0,0.166666667,0,0,0,0,0,0
Chiloscyllium sp,28.05,Malvan,0,0,0.054054054,0,0,0,0,0
Chiloscyllium sp,28.05,Malvan,0,0.166666667,0,0,0,0,0,0
Scoliodon laticaudus,37.4,Vengurla,0,0,0.054054054,0,0,0.066666667,0,0
Chiloscyllium sp,14.96,Aachara,0.043478261,0.090909091,0,0.032786885,0,0,0,0
Chiloscyllium sp,14.96,Aachara,0,0,0,0,0,0.25,0,0
Scoliodon laticaudus,18.7,Talashil,0.043478261,0,0,0,0,0,0,0.25
Scoliodon laticaudus,18.7,Talashil,0,0,0.153846154,0,0,0,0,0
Scoliodon laticaudus,18.7,Talashil,0.043478261,0,0.076923077,0,0,0,0,0
Carcharhinus limbatus,46.75,Devgad,0,0,0,0,0,0.066666667,0,0
Carcharhinus limbatus,12.155,Devbag,0,0,0,0.016393443,0,0.25,0,0
Scoliodon laticaudus,18.7,Talashil,0,0.181818182,0,0,0,0,0.333333333,0
Scoliodon laticaudus,18.7,Talashil,0,0,0,0,0,0.066666667,0,0
Scoliodon laticaudus,18.7,Talashil,0,0,0,0,0,0,0.333333333,0
Scoliodon laticaudus,18.7,Talashil,0.047619048,0,0,0,0,0.066666667,0,0
Scoliodon laticaudus,18.7,Talashil,0,0,0,0,0,0.15,0,0.227272727
Scoliodon laticaudus,18.7,Talashil,0,0,0,0,0,0.2,0,0
Scoliodon laticaudus,33.66,Aachara,0.047619048,0,0,0,0,0,0,0
Scoliodon laticaudus,33.66,Aachara,0,0,0,0,0,0.066666667,0,0
Scoliodon laticaudus,33.66,Aachara,0,0,0.081081081,0,0,0,0.166666667,0.333333333
Scoliodon laticaudus,33.66,Aachara,0,0,0,0,0,0,0,0.333333333
Carcharhinus limbatus,24.31,Redi port,0,0,0,0,0,0,0,0
Carcharhinus limbatus,24.31,Redi port,0,0,0.027027027,0,0,0,0,0
Carcharhinus limbatus,24.31,Redi port,0,0,0,0,0,0,0.166666667,0
Carcharhinus limbatus,24.31,Redi port,0,0,0.027027027,0,0,0,0,0
Carcharhinus limbatus,24.31,Redi port,0,0,0,0,0,0.066666667,0,0
Carcharhinus limbatus,24.31,Redi port,0,0,0,0,0,0.066666667,0,0
Carcharhinus limbatus,24.31,Redi port,0,0,0,0,0,0.05,0,0
Carcharhinus limbatus,24.31,Redi port,0,0,0,0,0,0.1,0,0.181818182
Carcharhinus limbatus,28.05,Vengurla,0,0,0,0,0,0.05,0,0.090909091
Chiloscyllium sp,28.05,Vengurla,0.052631579,0,0,0,0,0,0,0
Chiloscyllium sp,28.05,Vengurla,0.052631579,0,0,0,0,0,0,0
Carcharhinus limbatus,28.05,Vengurla,0.052631579,0,0,0,0,0,0,0
Carcharhinus limbatus,24.31,Redi port,0,0,0,0,0,0,0,0
Carcharhinus limbatus,24.31,Redi port,0.157894737,0,0,0,0,0,0,0
Carcharhinus limbatus,28.05,Vengurla,0,0,0,0,0,0,0,0
Chiloscyllium sp,28.05,Vengurla,0,0,0,0,0,0,0.083333333,0
Chiloscyllium sp,28.05,Vengurla,0.043478261,0.181818182,0,0.098360656,0,0,0.083333333,0.25
Carcharhinus limbatus,28.05,Vengurla,0,0,0,0,0,0.05,0,0
